iter	Passed	Remaining
0	145	145626
1	150	75158
2	156	51883
3	163	40813
4	169	33771
5	177	29471
6	183	26055
7	191	23731
8	196	21688
9	208	20646
10	216	19442
11	222	18285
12	227	17274
13	235	16615
14	243	15993
15	250	15414
16	256	14842
17	264	14430
18	270	13957
19	276	13533
20	284	13281
21	296	13192
22	303	12871
23	309	12594
24	317	12388
25	323	12131
26	330	11894
27	338	11752
28	347	11648
29	353	11445
30	359	11252
31	366	11082
32	373	10950
33	379	10773
34	387	10671
35	394	10567
36	400	10428
37	408	10339
38	419	10327
39	425	10207
40	431	10085
41	439	10014
42	445	9914
43	451	9807
44	461	9793
45	468	9707
46	476	9652
47	481	9553
48	489	9500
49	503	9569
50	510	9494
51	521	9507
52	533	9530
53	539	9447
54	545	9366
55	553	9322
56	559	9248
57	568	9228
58	576	9192
59	584	9161
60	590	9097
61	598	9048
62	605	9004
63	612	8955
64	618	8901
65	633	8969
66	648	9030
67	655	8978
68	662	8943
69	668	8879
70	675	8832
71	681	8781
72	689	8751
73	697	8731
74	703	8677
75	709	8625
76	716	8589
77	724	8566
78	732	8542
79	739	8504
80	750	8513
81	761	8526
82	767	8483
83	783	8539
84	794	8547
85	801	8519
86	808	8479
87	816	8459
88	822	8415
89	832	8419
90	838	8371
91	846	8358
92	853	8319
93	858	8270
94	866	8254
95	872	8213
96	879	8191
97	885	8152
98	893	8133
99	900	8105
100	906	8072
101	915	8056
102	921	8020
103	928	8000
104	934	7965
105	943	7956
106	953	7956
107	959	7926
108	965	7895
109	973	7875
110	980	7854
111	986	7823
112	992	7790
113	998	7758
114	1004	7733
115	1011	7705
116	1017	7680
117	1023	7651
118	1032	7643
119	1038	7615
120	1045	7594
121	1051	7564
122	1059	7553
123	1065	7526
124	1072	7509
125	1078	7481
126	1084	7454
127	1089	7423
128	1095	7394
129	1103	7387
130	1109	7362
131	1116	7341
132	1122	7316
133	1135	7341
134	1141	7313
135	1147	7287
136	1153	7263
137	1159	7243
138	1166	7227
139	1176	7228
140	1182	7206
141	1188	7183
142	1195	7167
143	1202	7146
144	1209	7132
145	1215	7110
146	1222	7095
147	1229	7080
148	1237	7066
149	1243	7045
150	1251	7034
151	1257	7013
152	1262	6990
153	1268	6967
154	1274	6946
155	1279	6923
156	1285	6902
157	1294	6899
158	1300	6878
159	1307	6862
160	1312	6841
161	1321	6834
162	1327	6815
163	1334	6802
164	1341	6787
165	1347	6771
166	1354	6757
167	1361	6741
168	1370	6737
169	1376	6719
170	1383	6707
171	1392	6703
172	1402	6704
173	1408	6687
174	1416	6676
175	1421	6655
176	1429	6644
177	1436	6631
178	1442	6614
179	1448	6596
180	1454	6579
181	1460	6564
182	1466	6546
183	1473	6534
184	1479	6517
185	1485	6502
186	1490	6481
187	1497	6469
188	1503	6452
189	1511	6441
190	1517	6429
191	1523	6412
192	1531	6403
193	1537	6388
194	1543	6371
195	1550	6361
196	1556	6345
197	1563	6332
198	1569	6315
199	1578	6313
200	1584	6300
201	1592	6291
202	1599	6280
203	1605	6265
204	1612	6253
205	1618	6237
206	1623	6221
207	1630	6210
208	1636	6193
209	1645	6190
210	1651	6174
211	1657	6159
212	1665	6153
213	1673	6147
214	1679	6132
215	1685	6117
216	1691	6103
217	1698	6093
218	1704	6080
219	1712	6072
220	1718	6056
221	1725	6047
222	1731	6033
223	1737	6020
224	1743	6005
225	1751	5997
226	1757	5984
227	1764	5973
228	1769	5958
229	1776	5948
230	1783	5936
231	1788	5920
232	1795	5911
233	1801	5896
234	1809	5892
235	1816	5879
236	1823	5871
237	1830	5859
238	1836	5848
239	1842	5833
240	1848	5821
241	1855	5811
242	1861	5799
243	1871	5799
244	1877	5786
245	1884	5776
246	1890	5762
247	1897	5754
248	1904	5744
249	1910	5730
250	1919	5727
251	1924	5712
252	1930	5700
253	1936	5688
254	1943	5678
255	1949	5664
256	1957	5659
257	1964	5649
258	1970	5636
259	1977	5627
260	1983	5615
261	1990	5605
262	1995	5592
263	2005	5591
264	2013	5583
265	2018	5570
266	2025	5560
267	2032	5551
268	2049	5568
269	2055	5556
270	2061	5544
271	2068	5535
272	2074	5523
273	2082	5518
274	2089	5509
275	2096	5498
276	2102	5487
277	2107	5473
278	2113	5462
279	2122	5457
280	2128	5445
281	2135	5436
282	2141	5424
283	2147	5414
284	2153	5402
285	2160	5393
286	2165	5380
287	2172	5371
288	2178	5360
289	2185	5349
290	2191	5340
291	2198	5329
292	2205	5321
293	2212	5312
294	2218	5301
295	2225	5293
296	2231	5281
297	2238	5273
298	2244	5262
299	2250	5251
300	2256	5240
301	2262	5228
302	2268	5218
303	2274	5206
304	2282	5201
305	2288	5190
306	2300	5193
307	2306	5182
308	2312	5171
309	2319	5162
310	2326	5153
311	2332	5142
312	2340	5136
313	2346	5126
314	2354	5119
315	2360	5110
316	2367	5101
317	2372	5089
318	2379	5080
319	2386	5070
320	2392	5059
321	2398	5051
322	2405	5041
323	2412	5033
324	2418	5022
325	2426	5016
326	2432	5005
327	2437	4993
328	2442	4982
329	2449	4973
330	2455	4961
331	2463	4955
332	2468	4945
333	2475	4936
334	2481	4925
335	2489	4919
336	2495	4909
337	2502	4901
338	2509	4893
339	2515	4882
340	2522	4874
341	2528	4864
342	2534	4854
343	2540	4843
344	2546	4835
345	2554	4827
346	2560	4818
347	2567	4810
348	2573	4800
349	2580	4792
350	2587	4784
351	2594	4775
352	2601	4767
353	2607	4758
354	2613	4747
355	2620	4740
356	2626	4730
357	2633	4722
358	2639	4712
359	2646	4704
360	2652	4694
361	2657	4684
362	2663	4674
363	2669	4664
364	2676	4656
365	2682	4646
366	2688	4637
367	2694	4627
368	2702	4621
369	2708	4611
370	2714	4602
371	2721	4593
372	2728	4586
373	2734	4577
374	2742	4570
375	2748	4561
376	2755	4553
377	2760	4542
378	2767	4534
379	2773	4525
380	2782	4520
381	2788	4510
382	2794	4501
383	2801	4493
384	2806	4483
385	2812	4474
386	2818	4464
387	2825	4456
388	2830	4446
389	2836	4437
390	2843	4428
391	2850	4421
392	2856	4411
393	2863	4403
394	2869	4395
395	2876	4387
396	2882	4378
397	2890	4372
398	2897	4363
399	2902	4353
400	2909	4346
401	2915	4336
402	2924	4332
403	2931	4324
404	2938	4316
405	2944	4308
406	2950	4299
407	2956	4290
408	2962	4281
409	2972	4277
410	2978	4268
411	2984	4259
412	2992	4253
413	2998	4244
414	3005	4236
415	3011	4227
416	3018	4219
417	3024	4210
418	3030	4201
419	3036	4193
420	3043	4185
421	3051	4179
422	3059	4173
423	3065	4164
424	3072	4156
425	3078	4147
426	3086	4141
427	3091	4132
428	3097	4122
429	3105	4116
430	3111	4107
431	3117	4099
432	3123	4090
433	3130	4082
434	3135	4073
435	3142	4064
436	3148	4056
437	3154	4048
438	3162	4041
439	3168	4032
440	3174	4023
441	3180	4014
442	3188	4009
443	3194	4000
444	3201	3992
445	3206	3983
446	3213	3975
447	3220	3968
448	3227	3960
449	3235	3954
450	3241	3946
451	3248	3938
452	3256	3931
453	3262	3923
454	3268	3914
455	3275	3907
456	3282	3900
457	3289	3892
458	3295	3884
459	3302	3876
460	3308	3868
461	3314	3859
462	3323	3854
463	3329	3845
464	3335	3838
465	3341	3829
466	3348	3821
467	3353	3812
468	3365	3809
469	3370	3801
470	3376	3791
471	3383	3785
472	3389	3776
473	3397	3769
474	3402	3761
475	3410	3754
476	3415	3745
477	3422	3737
478	3428	3729
479	3435	3722
480	3441	3713
481	3448	3705
482	3454	3697
483	3463	3692
484	3469	3684
485	3475	3675
486	3481	3667
487	3486	3658
488	3494	3651
489	3500	3643
490	3506	3635
491	3513	3627
492	3519	3619
493	3525	3611
494	3532	3603
495	3538	3595
496	3545	3588
497	3550	3579
498	3557	3572
499	3564	3564
500	3570	3555
501	3575	3546
502	3580	3537
503	3587	3531
504	3593	3522
505	3599	3514
506	3604	3504
507	3611	3497
508	3617	3489
509	3624	3482
510	3633	3477
511	3639	3468
512	3646	3461
513	3652	3453
514	3660	3447
515	3666	3439
516	3672	3431
517	3678	3422
518	3684	3415
519	3692	3408
520	3698	3399
521	3706	3394
522	3712	3385
523	3720	3379
524	3726	3371
525	3734	3365
526	3740	3357
527	3748	3350
528	3754	3343
529	3760	3335
530	3767	3327
531	3772	3318
532	3780	3312
533	3786	3304
534	3794	3298
535	3800	3290
536	3807	3282
537	3815	3276
538	3824	3271
539	3830	3262
540	3836	3255
541	3844	3248
542	3851	3241
543	3857	3233
544	3865	3227
545	3872	3219
546	3876	3210
547	3883	3203
548	3889	3195
549	3897	3188
550	3903	3180
551	3909	3172
552	3918	3167
553	3925	3159
554	3933	3153
555	3939	3145
556	3945	3138
557	3953	3131
558	3959	3123
559	3966	3116
560	3972	3108
561	3980	3102
562	3986	3094
563	3996	3089
564	4003	3082
565	4009	3074
566	4016	3067
